school,chart_id,chart_title,series,category,value
Dr Martin Luther King Jr Literary & Fine Arts School,lvl,Incident Types,,LVL1,46.0
Dr Martin Luther King Jr Literary & Fine Arts School,lvl,Incident Types,,LVL2,31.0
Dr Martin Luther King Jr Literary & Fine Arts School,lvl,Incident Types,,LVL3,12.0
Dr Martin Luther King Jr Literary & Fine Arts School,months,Incidents by Month,,August,11.0
Dr Martin Luther King Jr Literary & Fine Arts School,months,Incidents by Month,,September,78.0
Dr Martin Luther King Jr Literary & Fine Arts School,race,Incidents by Race/Ethnicity,,Asian,2.0
Dr Martin Luther King Jr Literary & Fine Arts School,race,Incidents by Race/Ethnicity,,Black or African American,58.0
Dr Martin Luther King Jr Literary & Fine Arts School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,9.0
Dr Martin Luther King Jr Literary & Fine Arts School,race,Incidents by Race/Ethnicity,,Multi-racial,6.0
Dr Martin Luther King Jr Literary & Fine Arts School,race,Incidents by Race/Ethnicity,,White,14.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,0,9.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,1,4.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,2,21.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,3,1.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,4,5.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,5,3.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,6,14.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,7,16.0
Dr Martin Luther King Jr Literary & Fine Arts School,grade,Incidents by Grade,,8,16.0
Foster School,students-count-discipline,summary counts,,Incidents,26.0
Foster School,students-count-discipline,summary counts,,Students,19.0
Foster School,students-count-discipline,summary counts,,Minor Incidents,14.0
Foster School,students-count-discipline,summary counts,,Major Incidents,12.0
Foster School,school,Incidents by School,,Foster School,26.0
Foster School,lvl,Incident Types,,LVL1,11.0
Foster School,lvl,Incident Types,,LVL2,3.0
Foster School,lvl,Incident Types,,LVL3,12.0
Foster School,months,Incidents by Month,,August,2.0
Foster School,months,Incidents by Month,,September,24.0
Foster School,race,Incidents by Race/Ethnicity,,Black or African American,20.0
Foster School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,3.0
Foster School,race,Incidents by Race/Ethnicity,,Multi-racial,2.0
Foster School,race,Incidents by Race/Ethnicity,,White,1.0
Foster School,grade,Incidents by Grade,,0,2.0
Foster School,grade,Incidents by Grade,,3,8.0
Foster School,grade,Incidents by Grade,,4,4.0
Foster School,grade,Incidents by Grade,,5,12.0
Haven Middle School,students-count-discipline,summary counts,,Incidents,156.0
Haven Middle School,students-count-discipline,summary counts,,Students,73.0
Haven Middle School,students-count-discipline,summary counts,,Minor Incidents,143.0
Haven Middle School,students-count-discipline,summary counts,,Major Incidents,13.0
Haven Middle School,school,Incidents by School,,Haven Middle School,156.0
Haven Middle School,lvl,Incident Types,,LVL1,99.0
Haven Middle School,lvl,Incident Types,,LVL2,44.0
Haven Middle School,lvl,Incident Types,,LVL3,13.0
Haven Middle School,months,Incidents by Month,,August,35.0
Haven Middle School,months,Incidents by Month,,September,121.0
Haven Middle School,race,Incidents by Race/Ethnicity,,Asian,1.0
Haven Middle School,race,Incidents by Race/Ethnicity,,Black or African American,73.0
Haven Middle School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,11.0
Haven Middle School,race,Incidents by Race/Ethnicity,,Multi-racial,31.0
Haven Middle School,race,Incidents by Race/Ethnicity,,White,40.0
Haven Middle School,grade,Incidents by Grade,,6,54.0
Haven Middle School,grade,Incidents by Grade,,7,60.0
Haven Middle School,grade,Incidents by Grade,,8,42.0
Lincoln Elementary School,students-count-discipline,summary counts,,Incidents,165.0
Lincoln Elementary School,students-count-discipline,summary counts,,Students,35.0
Lincoln Elementary School,students-count-discipline,summary counts,,Minor Incidents,109.0
Lincoln Elementary School,students-count-discipline,summary counts,,Major Incidents,56.0
Lincoln Elementary School,school,Incidents by School,,Lincoln Elementary School,165.0
Lincoln Elementary School,lvl,Incident Types,,LVL1,49.0
Lincoln Elementary School,lvl,Incident Types,,LVL2,60.0
Lincoln Elementary School,lvl,Incident Types,,LVL3,55.0
Lincoln Elementary School,lvl,Incident Types,,LVL4,1.0
Lincoln Elementary School,months,Incidents by Month,,August,31.0
Lincoln Elementary School,months,Incidents by Month,,September,134.0
Lincoln Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,65.0
Lincoln Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,62.0
Lincoln Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,7.0
Lincoln Elementary School,race,Incidents by Race/Ethnicity,,White,31.0
Lincoln Elementary School,grade,Incidents by Grade,,0,77.0
Lincoln Elementary School,grade,Incidents by Grade,,1,44.0
Lincoln Elementary School,grade,Incidents by Grade,,2,8.0
Lincoln Elementary School,grade,Incidents by Grade,,3,9.0
Lincoln Elementary School,grade,Incidents by Grade,,4,8.0
Lincoln Elementary School,grade,Incidents by Grade,,5,19.0
Lincolnwood Elementary School,students-count-discipline,summary counts,,Incidents,5.0
Lincolnwood Elementary School,students-count-discipline,summary counts,,Students,4.0
Lincolnwood Elementary School,students-count-discipline,summary counts,,Minor Incidents,0.0
Lincolnwood Elementary School,students-count-discipline,summary counts,,Major Incidents,5.0
Lincolnwood Elementary School,school,Incidents by School,,Lincolnwood Elementary School,5.0
Lincolnwood Elementary School,lvl,Incident Types,,LVL3,5.0
Lincolnwood Elementary School,months,Incidents by Month,,August,2.0
Lincolnwood Elementary School,months,Incidents by Month,,September,3.0
Lincolnwood Elementary School,race,Incidents by Race/Ethnicity,,Asian,1.0
Lincolnwood Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,3.0
Lincolnwood Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,1.0
Lincolnwood Elementary School,grade,Incidents by Grade,,0,4.0
Lincolnwood Elementary School,grade,Incidents by Grade,,5,1.0
Nichols Middle School,students-count-discipline,summary counts,,Incidents,47.0
Nichols Middle School,students-count-discipline,summary counts,,Students,30.0
Nichols Middle School,students-count-discipline,summary counts,,Minor Incidents,34.0
Nichols Middle School,students-count-discipline,summary counts,,Major Incidents,13.0
Nichols Middle School,school,Incidents by School,,Nichols Middle School,47.0
Nichols Middle School,lvl,Incident Types,,LVL1,20.0
Nichols Middle School,lvl,Incident Types,,LVL2,14.0
Nichols Middle School,lvl,Incident Types,,LVL3,12.0
Nichols Middle School,lvl,Incident Types,,LVL4,1.0
Nichols Middle School,months,Incidents by Month,,August,2.0
Nichols Middle School,months,Incidents by Month,,September,45.0
Nichols Middle School,race,Incidents by Race/Ethnicity,,Asian,3.0
Nichols Middle School,race,Incidents by Race/Ethnicity,,Black or African American,9.0
Nichols Middle School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,5.0
