school,grade,grade_label,students,cap,twi_students_est,twi_sections,twi_class_size,acc_students_est,acc_sections,acc_class_size,mainstream_students,mainstream_sections,mainstream_class_size,sections,avg_class_size,note
Oakton,0,K,68.0,24,12.5,1.0,12.5,12.2,1.0,12.2,43.3,2.0,21.7,4.0,17.0,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Oakton,1,1,55.0,24,12.5,1.0,12.5,12.2,1.0,12.2,30.3,2.0,15.2,4.0,13.8,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Oakton,2,2,58.0,24,12.5,1.0,12.5,12.2,1.0,12.2,33.3,2.0,16.7,4.0,14.5,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Oakton,3,3,54.0,24,12.5,1.0,12.5,12.2,1.0,12.2,29.3,2.0,14.7,4.0,13.5,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Oakton,4,4,69.0,24,12.5,1.0,12.5,12.2,1.0,12.2,44.3,2.0,22.2,4.0,17.2,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Oakton,5,5,63.0,24,12.5,1.0,12.5,12.2,1.0,12.2,38.3,2.0,19.2,4.0,15.8,"1 ACC class per grade K-5; ACC students = 73 projected (1A table), spread evenly"
Orrington,0,K,40.0,24,0.0,0.0,,0.0,0.0,,40.0,2.0,20.0,2.0,20.0,
Orrington,1,1,35.0,24,0.0,0.0,,0.0,0.0,,35.0,2.0,17.5,2.0,17.5,
Orrington,2,2,42.0,24,0.0,0.0,,0.0,0.0,,42.0,2.0,21.0,2.0,21.0,
Orrington,3,3,52.0,24,0.0,0.0,,0.0,0.0,,52.0,3.0,17.3,3.0,17.3,
Orrington,4,4,27.0,24,0.0,0.0,,0.0,0.0,,27.0,2.0,13.5,2.0,13.5,
Orrington,5,5,55.0,24,0.0,0.0,,0.0,0.0,,55.0,3.0,18.3,3.0,18.3,
Walker,0,K,45.0,24,0.0,0.0,,0.0,0.0,,45.0,2.0,22.5,2.0,22.5,
Walker,1,1,57.0,24,0.0,0.0,,0.0,0.0,,57.0,3.0,19.0,3.0,19.0,
Walker,2,2,42.0,24,0.0,0.0,,0.0,0.0,,42.0,2.0,21.0,2.0,21.0,
Walker,3,3,63.0,24,0.0,0.0,,0.0,0.0,,63.0,3.0,21.0,3.0,21.0,
Walker,4,4,66.0,24,0.0,0.0,,0.0,0.0,,66.0,3.0,22.0,3.0,22.0,
Walker,5,5,44.0,24,0.0,0.0,,0.0,0.0,,44.0,2.0,22.0,2.0,22.0,
Washington,0,K,58.0,24,29.0,2.0,14.5,0.0,0.0,,29.0,2.0,14.5,4.0,14.5,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Washington,1,1,59.0,24,39.3,2.0,19.7,0.0,0.0,,19.7,1.0,19.7,3.0,19.7,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Washington,2,2,63.0,24,42.0,2.0,21.0,0.0,0.0,,21.0,1.0,21.0,3.0,21.0,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Washington,3,3,64.0,24,32.0,2.0,16.0,0.0,0.0,,32.0,2.0,16.0,4.0,16.0,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Washington,4,4,62.0,24,31.0,2.0,15.5,0.0,0.0,,31.0,2.0,15.5,4.0,15.5,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Washington,5,5,81.0,24,40.5,2.0,20.2,0.0,0.0,,40.5,2.0,20.2,4.0,20.2,"Reported class counts: 4 per grade (2 TWI + 2 monolingual/mainstream), 3 in 1st and 2nd (2 TWI + 1); students spread evenly across classes"
Willard,0,K,40.0,24,0.0,0.0,,0.0,0.0,,40.0,2.0,20.0,2.0,20.0,
Willard,1,1,43.0,24,0.0,0.0,,0.0,0.0,,43.0,2.0,21.5,2.0,21.5,
Willard,2,2,44.0,24,0.0,0.0,,0.0,0.0,,44.0,2.0,22.0,2.0,22.0,
Willard,3,3,53.0,24,0.0,0.0,,0.0,0.0,,53.0,3.0,17.7,3.0,17.7,
Willard,4,4,46.0,24,0.0,0.0,,0.0,0.0,,46.0,2.0,23.0,2.0,23.0,
Willard,5,5,47.0,24,0.0,0.0,,0.0,0.0,,47.0,2.0,23.5,2.0,23.5,
