school,classes_needed,classrooms,spare_rooms
Willard,13,24,11
Lincoln,18,28,10
Dewey,18,24,6
King Arts,22,27,5
Orrington,14,19,5
Washington,19,24,5
Dawes,16,20,4
Foster,21,24,3
Lincolnwood,16,19,3
Walker,15,18,3
Oakton,24,25,1
