school,K,1,2,3,4,5,6,7,8,Total
Dawes,43,45,42,48,59,51,,,,288
Dewey,48,55,45,52,64,51,,,,315
Foster,46,42,65,79,57,72,,,,361
Lincoln,57,73,53,43,68,56,,,,350
Lincolnwood,48,60,54,42,48,79,,,,331
Oakton,68,55,58,54,69,63,,,,367
Orrington,40,35,42,52,27,55,,,,251
Walker,45,57,42,63,66,44,,,,317
Washington,58,59,63,64,62,81,,,,387
Willard,40,43,44,53,46,47,,,,273
King Arts,41,40,37,56,54,46,43,67,61,445
All schools,534,564,545,606,620,645,43,67,61,3685
